category,country_count
shooting,4
athletics_boating_cycling_equestrian_fighting_gymnastics_other_racquets_shooting,1
athletics_fighting_gymnastics_racquets_shooting_swimming,1
athletics_boating_cycling_equestrian_fighting_gymnastics_other_shooting_swimming_teams,3
athletics_equestrian_fighting_gymnastics_other_racquets_shooting_swimming_teams,1
athletics_boating_equestrian_fighting_gymnastics_other_shooting_swimming_teams,2
athletics_boating_cycling_fighting_gymnastics_other_shooting_swimming_teams,1
athletics_boating_cycling_equestrian_fighting_gymnastics_other_racquets_shooting_swimming_teams,9
athletics_boating_cycling_fighting_other_shooting,1
athletics_boating_cycling_fighting_gymnastics_other_racquets_shooting_swimming_teams,2
athletics_boating_fighting_gymnastics_other_shooting_swimming_teams,2
fighting_gymnastics_other_shooting,1
athletics_boating_cycling_equestrian_fighting_other_racquets_shooting_swimming_teams,2
athletics_boating_shooting,1
athletics_boating_fighting_gymnastics_other_shooting_swimming,3
fighting_other_shooting,2
athletics_boating_fighting_gymnastics_other_shooting,1
athletics_boating_fighting_other_shooting_teams,1
boating_fighting_gymnastics_shooting_swimming_teams,1
shooting_teams,1
athletics_boating_fighting_gymnastics_other_racquets_shooting,1
athletics_shooting_teams,1
boating_cycling_fighting_gymnastics_other_racquets_shooting_swimming_teams,1
athletics_boating_cycling_fighting_gymnastics_other_shooting_teams,1
athletics_boating_cycling_fighting_other_racquets_shooting,1
athletics_boating_cycling_fighting_gymnastics_other_shooting_swimming,1
athletics_other_shooting_swimming,1
athletics_boating_fighting_other_racquets_shooting_teams,1
athletics_fighting_gymnastics_other_racquets_shooting_swimming_teams,1
athletics_boating_cycling_equestrian_fighting_other_shooting_swimming,1
fighting_shooting,1
athletics_fighting,4
athletics_boating_cycling_fighting_racquets_swimming,1
athletics_cycling_fighting_other,1
athletics_boating_cycling_fighting_swimming_teams,1
fighting_other_racquets,1
athletics_boating_fighting_swimming,1
fighting_teams,1
boating_fighting,1
fighting,5
athletics_cycling_fighting_other_swimming,1
fighting_other,4
athletics_boating_cycling_equestrian_fighting_swimming_teams,1
athletics_equestrian_fighting_other_swimming_teams,1
athletics_cycling_other,2
cycling_gymnastics_teams,1
swimming,3
swimming_teams,2
athletics_swimming,1
boating_gymnastics,1
athletics,14
athletics_teams,2
athletics_other,2
athletics_boating,1
athletics_racquets,1
other,1
racquets,2
teams,3